"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/CallGitHubApi.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/CallMetadataApi.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/CallRestApi.cls",4,19,4,74,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/CallToolingApi.cls",2,19,2,75,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/CreatePlantUmlUrl.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/CustomSettings.cls",2,19,2,59,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/ExploreOrgSchema.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CognitiveComplexity","pmd",3,"Recommended,Design,Apex,OpinionatedSalesforce","force-app/main/default/classes/ExploreOrgSchema.cls",3,21,317,2,"The class 'ExploreOrgSchema' has a total cognitive complexity of 55 (highest 8), current threshold is 50","https://docs.pmd-code.org/pmd-doc-7.21.0/pmd_rules_apex_design.html#cognitivecomplexity"
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/ExploreOrgSchema.cls",210,23,210,51,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/HeadlessAgent_Test.cls",3,19,3,42,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/LoadCustomInstructions.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/NightlyMemoryConsolidation.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/NotifyUser.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/NotifyUser_Test.cls",3,19,3,42,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/PlanForLater.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/QueryRecordsWithSoql.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/RetrieveVectorizeChunks.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/RetrieveVectorizeChunks.cls",126,27,126,52,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/RunMyOrgButler.cls",17,23,17,46,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/SearchWeb.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
"CheckIfProperFalsePositive","pmd",4,"Recommended,OpinionatedSalesforce,Apex,Custom","force-app/main/default/classes/StoreCustomInstruction.cls",2,19,2,44,"Only False Positives can be supressed and need a proper comment.",
